per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,per_name,cat_name
9,10,1,0,1,1,10980.0,1992-09-01,building_garden_supplies
9,11,1,0,1,1,30942.0,1992-09-01,food_bev_stores
9,12,1,0,1,1,28122.0,1992-09-01,grocery_stores
9,13,1,0,1,1,7420.0,1992-09-01,health_personalcare_stores
9,14,1,0,1,1,13246.0,1992-09-01,gas_stations
9,15,1,0,1,1,10154.0,1992-09-01,clothing_stores
9,16,1,0,1,1,3566.0,1992-09-01,sporting_hobby_book_stores
9,17,1,0,1,1,20684.0,1992-09-01,general_merchandise
9,21,1,0,1,1,16812.0,1992-09-01,food_drink_service
10,6,1,0,1,1,35972.0,1992-10-01,car_dealers
10,8,1,0,1,1,4299.0,1992-10-01,furniture
10,9,1,0,1,1,4186.0,1992-10-01,electronics_appliances
10,10,1,0,1,1,10971.0,1992-10-01,building_garden_supplies
10,11,1,0,1,1,31148.0,1992-10-01,food_bev_stores
10,12,1,0,1,1,28328.0,1992-10-01,grocery_stores
10,13,1,0,1,1,7535.0,1992-10-01,health_personalcare_stores
10,14,1,0,1,1,13304.0,1992-10-01,gas_stations
10,15,1,0,1,1,10174.0,1992-10-01,clothing_stores
10,16,1,0,1,1,3607.0,1992-10-01,sporting_hobby_book_stores
10,17,1,0,1,1,20851.0,1992-10-01,general_merchandise
10,21,1,0,1,1,17104.0,1992-10-01,food_drink_service
11,6,1,0,1,1,35928.0,1992-11-01,car_dealers
11,8,1,0,1,1,4368.0,1992-11-01,furniture
11,9,1,0,1,1,4118.0,1992-11-01,electronics_appliances
11,10,1,0,1,1,10873.0,1992-11-01,building_garden_supplies
11,11,1,0,1,1,30992.0,1992-11-01,food_bev_stores
11,12,1,0,1,1,28184.0,1992-11-01,grocery_stores
11,13,1,0,1,1,7497.0,1992-11-01,health_personalcare_stores
11,14,1,0,1,1,13358.0,1992-11-01,gas_stations
11,15,1,0,1,1,10076.0,1992-11-01,clothing_stores
11,16,1,0,1,1,3626.0,1992-11-01,sporting_hobby_book_stores
11,17,1,0,1,1,21078.0,1992-11-01,general_merchandise
11,21,1,0,1,1,17420.0,1992-11-01,food_drink_service
12,6,1,0,1,1,36272.0,1992-12-01,car_dealers
12,8,1,0,1,1,4428.0,1992-12-01,furniture
12,9,1,0,1,1,4248.0,1992-12-01,electronics_appliances
12,10,1,0,1,1,11082.0,1992-12-01,building_garden_supplies
12,11,1,0,1,1,31057.0,1992-12-01,food_bev_stores
12,12,1,0,1,1,28233.0,1992-12-01,grocery_stores
12,13,1,0,1,1,7526.0,1992-12-01,health_personalcare_stores
12,14,1,0,1,1,13475.0,1992-12-01,gas_stations
12,15,1,0,1,1,10318.0,1992-12-01,clothing_stores
12,16,1,0,1,1,3800.0,1992-12-01,sporting_hobby_book_stores
12,17,1,0,1,1,21752.0,1992-12-01,general_merchandise
12,21,1,0,1,1,17491.0,1992-12-01,food_drink_service
13,6,1,0,1,1,37621.0,1993-01-01,car_dealers
13,8,1,0,1,1,4637.0,1993-01-01,furniture
13,9,1,0,1,1,4395.0,1993-01-01,electronics_appliances
13,10,1,0,1,1,11333.0,1993-01-01,building_garden_supplies
13,11,1,0,1,1,31045.0,1993-01-01,food_bev_stores
13,12,1,0,1,1,28220.0,1993-01-01,grocery_stores
13,13,1,0,1,1,7518.0,1993-01-01,health_personalcare_stores
13,14,1,0,1,1,13398.0,1993-01-01,gas_stations
13,15,1,0,1,1,10581.0,1993-01-01,clothing_stores
13,16,1,0,1,1,3648.0,1993-01-01,sporting_hobby_book_stores
13,17,1,0,1,1,21383.0,1993-01-01,general_merchandise
13,21,1,0,1,1,17553.0,1993-01-01,food_drink_service
14,6,1,0,1,1,36723.0,1993-02-01,car_dealers
14,8,1,0,1,1,4507.0,1993-02-01,furniture
14,9,1,0,1,1,4343.0,1993-02-01,electronics_appliances
14,10,1,0,1,1,11410.0,1993-02-01,building_garden_supplies
14,11,1,0,1,1,31233.0,1993-02-01,food_bev_stores
14,12,1,0,1,1,28419.0,1993-02-01,grocery_stores
14,13,1,0,1,1,7651.0,1993-02-01,health_personalcare_stores
14,14,1,0,1,1,13596.0,1993-02-01,gas_stations
14,15,1,0,1,1,10150.0,1993-02-01,clothing_stores
14,16,1,0,1,1,3585.0,1993-02-01,sporting_hobby_book_stores
14,17,1,0,1,1,21392.0,1993-02-01,general_merchandise
14,21,1,0,1,1,17478.0,1993-02-01,food_drink_service
15,6,1,0,1,1,35955.0,1993-03-01,car_dealers
15,8,1,0,1,1,4463.0,1993-03-01,furniture
15,9,1,0,1,1,4383.0,1993-03-01,electronics_appliances
15,10,1,0,1,1,11184.0,1993-03-01,building_garden_supplies
15,11,1,0,1,1,31058.0,1993-03-01,food_bev_stores
15,12,1,0,1,1,28307.0,1993-03-01,grocery_stores
15,13,1,0,1,1,7605.0,1993-03-01,health_personalcare_stores
15,14,1,0,1,1,13487.0,1993-03-01,gas_stations
15,15,1,0,1,1,9916.0,1993-03-01,clothing_stores
15,16,1,0,1,1,3608.0,1993-03-01,sporting_hobby_book_stores
15,17,1,0,1,1,21273.0,1993-03-01,general_merchandise
15,21,1,0,1,1,17554.0,1993-03-01,food_drink_service
16,6,1,0,1,1,38521.0,1993-04-01,car_dealers
16,8,1,0,1,1,4564.0,1993-04-01,furniture
16,9,1,0,1,1,4460.0,1993-04-01,electronics_appliances
16,10,1,0,1,1,11417.0,1993-04-01,building_garden_supplies
16,11,1,0,1,1,31129.0,1993-04-01,food_bev_stores
16,12,1,0,1,1,28367.0,1993-04-01,grocery_stores
16,13,1,0,1,1,7683.0,1993-04-01,health_personalcare_stores
16,14,1,0,1,1,13539.0,1993-04-01,gas_stations
16,15,1,0,1,1,10257.0,1993-04-01,clothing_stores
16,16,1,0,1,1,3749.0,1993-04-01,sporting_hobby_book_stores
16,17,1,0,1,1,21759.0,1993-04-01,general_merchandise
16,21,1,0,1,1,17770.0,1993-04-01,food_drink_service
17,6,1,0,1,1,39006.0,1993-05-01,car_dealers
17,8,1,0,1,1,4642.0,1993-05-01,furniture
17,9,1,0,1,1,4485.0,1993-05-01,electronics_appliances
17,10,1,0,1,1,11720.0,1993-05-01,building_garden_supplies
17,11,1,0,1,1,31164.0,1993-05-01,food_bev_stores
17,12,1,0,1,1,28386.0,1993-05-01,grocery_stores
17,13,1,0,1,1,7666.0,1993-05-01,health_personalcare_stores
17,14,1,0,1,1,13521.0,1993-05-01,gas_stations
17,15,1,0,1,1,10386.0,1993-05-01,clothing_stores
17,16,1,0,1,1,3746.0,1993-05-01,sporting_hobby_book_stores
17,17,1,0,1,1,21993.0,1993-05-01,general_merchandise
17,21,1,0,1,1,17821.0,1993-05-01,food_drink_service
18,6,1,0,1,1,38892.0,1993-06-01,car_dealers
18,8,1,0,1,1,4609.0,1993-06-01,furniture
18,9,1,0,1,1,4567.0,1993-06-01,electronics_appliances
18,10,1,0,1,1,11669.0,1993-06-01,building_garden_supplies
18,11,1,0,1,1,31168.0,1993-06-01,food_bev_stores
18,12,1,0,1,1,28377.0,1993-06-01,grocery_stores
18,13,1,0,1,1,7680.0,1993-06-01,health_personalcare_stores
18,14,1,0,1,1,13461.0,1993-06-01,gas_stations
18,15,1,0,1,1,10411.0,1993-06-01,clothing_stores
18,16,1,0,1,1,3702.0,1993-06-01,sporting_hobby_book_stores
18,17,1,0,1,1,21957.0,1993-06-01,general_merchandise
18,21,1,0,1,1,18030.0,1993-06-01,food_drink_service
