per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,cat_name
11,11,2,0,1,1,-0.5,food_bev_stores
11,12,2,0,1,1,-0.5,grocery_stores
11,21,2,0,1,1,1.8,food_drink_service
11,11,2,0,1,0,-3.2,food_bev_stores
11,12,2,0,1,0,-3.4,grocery_stores
11,21,2,0,1,0,-5.3,food_drink_service
12,11,1,0,1,0,34170,food_bev_stores
12,11,1,0,1,1,31057,food_bev_stores
12,12,1,0,1,0,30294,grocery_stores
12,12,1,0,1,1,28233,grocery_stores
12,21,1,0,1,0,17491,food_drink_service
12,21,1,0,1,1,17491,food_drink_service
12,11,2,0,1,1,0.2,food_bev_stores
12,12,2,0,1,1,0.2,grocery_stores
12,21,2,0,1,1,0.4,food_drink_service
12,11,2,0,1,0,12.4,food_bev_stores
12,12,2,0,1,0,9.7,grocery_stores
12,21,2,0,1,0,4.6,food_drink_service
13,11,1,0,1,0,30039,food_bev_stores
13,11,1,0,1,1,31045,food_bev_stores
13,12,1,0,1,0,27571,grocery_stores
13,12,1,0,1,1,28220,grocery_stores
13,21,1,0,1,0,16201,food_drink_service
13,21,1,0,1,1,17553,food_drink_service
13,11,2,0,1,1,0,food_bev_stores
13,12,2,0,1,1,0,grocery_stores
13,21,2,0,1,1,0.4,food_drink_service
13,11,2,0,1,0,-12.1,food_bev_stores
13,12,2,0,1,0,-9,grocery_stores
13,21,2,0,1,0,-7.4,food_drink_service
14,11,1,0,1,0,28126,food_bev_stores
14,11,1,0,1,1,31233,food_bev_stores
14,12,1,0,1,0,25748,grocery_stores
14,12,1,0,1,1,28419,grocery_stores
14,21,1,0,1,0,15625,food_drink_service
14,21,1,0,1,1,17478,food_drink_service
14,11,2,0,1,1,0.6,food_bev_stores
14,12,2,0,1,1,0.7,grocery_stores
14,21,2,0,1,1,-0.4,food_drink_service
14,11,2,0,1,0,-6.4,food_bev_stores
14,12,2,0,1,0,-6.6,grocery_stores
14,21,2,0,1,0,-3.6,food_drink_service
15,11,1,0,1,0,30455,food_bev_stores
15,11,1,0,1,1,31058,food_bev_stores
15,12,1,0,1,0,27911,grocery_stores
15,12,1,0,1,1,28307,grocery_stores
15,21,1,0,1,0,17414,food_drink_service
15,21,1,0,1,1,17554,food_drink_service
15,11,2,0,1,1,-0.6,food_bev_stores
15,12,2,0,1,1,-0.4,grocery_stores
15,21,2,0,1,1,0.4,food_drink_service
15,11,2,0,1,0,8.3,food_bev_stores
15,12,2,0,1,0,8.4,grocery_stores
15,21,2,0,1,0,11.4,food_drink_service
16,11,1,0,1,0,30820,food_bev_stores
16,11,1,0,1,1,31129,food_bev_stores
16,12,1,0,1,0,28112,grocery_stores
16,12,1,0,1,1,28367,grocery_stores
16,21,1,0,1,0,17841,food_drink_service
16,21,1,0,1,1,17770,food_drink_service
16,11,2,0,1,1,0.2,food_bev_stores
16,12,2,0,1,1,0.2,grocery_stores
16,21,2,0,1,1,1.2,food_drink_service
16,11,2,0,1,0,1.2,food_bev_stores
16,12,2,0,1,0,0.7,grocery_stores
16,21,2,0,1,0,2.5,food_drink_service
17,11,1,0,1,0,31891,food_bev_stores
17,11,1,0,1,1,31164,food_bev_stores
17,12,1,0,1,0,29096,grocery_stores
17,12,1,0,1,1,28386,grocery_stores
17,21,1,0,1,0,18712,food_drink_service
17,21,1,0,1,1,17821,food_drink_service
17,11,2,0,1,1,0.1,food_bev_stores
17,12,2,0,1,1,0.1,grocery_stores
17,21,2,0,1,1,0.3,food_drink_service
17,11,2,0,1,0,3.5,food_bev_stores
17,12,2,0,1,0,3.5,grocery_stores
17,21,2,0,1,0,4.9,food_drink_service
18,11,1,0,1,0,31352,food_bev_stores
18,11,1,0,1,1,31168,food_bev_stores
18,12,1,0,1,0,28576,grocery_stores
18,12,1,0,1,1,28377,grocery_stores
18,21,1,0,1,0,18571,food_drink_service
18,21,1,0,1,1,18030,food_drink_service
18,11,2,0,1,1,0,food_bev_stores
18,12,2,0,1,1,0,grocery_stores
18,21,2,0,1,1,1.2,food_drink_service
18,11,2,0,1,0,-1.7,food_bev_stores
18,12,2,0,1,0,-1.8,grocery_stores
18,21,2,0,1,0,-0.8,food_drink_service
19,11,1,0,1,0,33029,food_bev_stores
19,11,1,0,1,1,31349,food_bev_stores
19,12,1,0,1,0,30067,grocery_stores
19,12,1,0,1,1,28554,grocery_stores
19,21,1,0,1,0,19092,food_drink_service
19,21,1,0,1,1,17927,food_drink_service
19,11,2,0,1,1,0.6,food_bev_stores
19,12,2,0,1,1,0.6,grocery_stores
19,21,2,0,1,1,-0.6,food_drink_service
19,11,2,0,1,0,5.3,food_bev_stores
19,12,2,0,1,0,5.2,grocery_stores
19,21,2,0,1,0,2.8,food_drink_service
20,11,1,0,1,0,31215,food_bev_stores
20,11,1,0,1,1,31126,food_bev_stores
20,12,1,0,1,0,28470,grocery_stores
20,12,1,0,1,1,28357,grocery_stores
20,21,1,0,1,0,19329,food_drink_service
20,21,1,0,1,1,18201,food_drink_service
20,11,2,0,1,1,-0.7,food_bev_stores
20,12,2,0,1,1,-0.7,grocery_stores
20,21,2,0,1,1,1.5,food_drink_service
20,11,2,0,1,0,-5.5,food_bev_stores
20,12,2,0,1,0,-5.3,grocery_stores
20,21,2,0,1,0,1.2,food_drink_service
21,11,1,0,1,0,30622,food_bev_stores
21,11,1,0,1,1,31201,food_bev_stores
21,12,1,0,1,0,28022,grocery_stores
21,12,1,0,1,1,28478,grocery_stores
21,21,1,0,1,0,18108,food_drink_service
21,21,1,0,1,1,18515,food_drink_service
21,11,2,0,1,1,0.2,food_bev_stores
21,12,2,0,1,1,0.4,grocery_stores
21,21,2,0,1,1,1.7,food_drink_service
