val,yearmonth,per_name,cat_name
10873,1992-11,11/1/1992,building_garden_supplies
30992,1992-11,11/1/1992,food_bev_stores
28184,1992-11,11/1/1992,grocery_stores
7497,1992-11,11/1/1992,health_personalcare_stores
13358,1992-11,11/1/1992,gas_stations
10076,1992-11,11/1/1992,clothing_stores
3626,1992-11,11/1/1992,sporting_hobby_book_stores
21078,1992-11,11/1/1992,general_merchandise
17420,1992-11,11/1/1992,food_drink_service
36272,1992-12,12/1/1992,car_dealers
4428,1992-12,12/1/1992,furniture
4248,1992-12,12/1/1992,electronics_appliances
11082,1992-12,12/1/1992,building_garden_supplies
31057,1992-12,12/1/1992,food_bev_stores
28233,1992-12,12/1/1992,grocery_stores
7526,1992-12,12/1/1992,health_personalcare_stores
13475,1992-12,12/1/1992,gas_stations
10318,1992-12,12/1/1992,clothing_stores
3800,1992-12,12/1/1992,sporting_hobby_book_stores
21752,1992-12,12/1/1992,general_merchandise
17491,1992-12,12/1/1992,food_drink_service
37621,1993-1,1/1/1993,car_dealers
4637,1993-1,1/1/1993,furniture
4395,1993-1,1/1/1993,electronics_appliances
11333,1993-1,1/1/1993,building_garden_supplies
31045,1993-1,1/1/1993,food_bev_stores
28220,1993-1,1/1/1993,grocery_stores
7518,1993-1,1/1/1993,health_personalcare_stores
13398,1993-1,1/1/1993,gas_stations
10581,1993-1,1/1/1993,clothing_stores
3648,1993-1,1/1/1993,sporting_hobby_book_stores
21383,1993-1,1/1/1993,general_merchandise
17553,1993-1,1/1/1993,food_drink_service
36723,1993-2,2/1/1993,car_dealers
4507,1993-2,2/1/1993,furniture
4343,1993-2,2/1/1993,electronics_appliances
11410,1993-2,2/1/1993,building_garden_supplies
31233,1993-2,2/1/1993,food_bev_stores
28419,1993-2,2/1/1993,grocery_stores
7651,1993-2,2/1/1993,health_personalcare_stores
13596,1993-2,2/1/1993,gas_stations
10150,1993-2,2/1/1993,clothing_stores
3585,1993-2,2/1/1993,sporting_hobby_book_stores
21392,1993-2,2/1/1993,general_merchandise
17478,1993-2,2/1/1993,food_drink_service
35955,1993-3,3/1/1993,car_dealers
4463,1993-3,3/1/1993,furniture
4383,1993-3,3/1/1993,electronics_appliances
11184,1993-3,3/1/1993,building_garden_supplies
31058,1993-3,3/1/1993,food_bev_stores
28307,1993-3,3/1/1993,grocery_stores
7605,1993-3,3/1/1993,health_personalcare_stores
13487,1993-3,3/1/1993,gas_stations
9916,1993-3,3/1/1993,clothing_stores
3608,1993-3,3/1/1993,sporting_hobby_book_stores
21273,1993-3,3/1/1993,general_merchandise
17554,1993-3,3/1/1993,food_drink_service
38521,1993-4,4/1/1993,car_dealers
4564,1993-4,4/1/1993,furniture
4460,1993-4,4/1/1993,electronics_appliances
11417,1993-4,4/1/1993,building_garden_supplies
31129,1993-4,4/1/1993,food_bev_stores
28367,1993-4,4/1/1993,grocery_stores
7683,1993-4,4/1/1993,health_personalcare_stores
13539,1993-4,4/1/1993,gas_stations
10257,1993-4,4/1/1993,clothing_stores
3749,1993-4,4/1/1993,sporting_hobby_book_stores
21759,1993-4,4/1/1993,general_merchandise
17770,1993-4,4/1/1993,food_drink_service
39006,1993-5,5/1/1993,car_dealers
4642,1993-5,5/1/1993,furniture
4485,1993-5,5/1/1993,electronics_appliances
11720,1993-5,5/1/1993,building_garden_supplies
31164,1993-5,5/1/1993,food_bev_stores
28386,1993-5,5/1/1993,grocery_stores
7666,1993-5,5/1/1993,health_personalcare_stores
13521,1993-5,5/1/1993,gas_stations
10386,1993-5,5/1/1993,clothing_stores
3746,1993-5,5/1/1993,sporting_hobby_book_stores
21993,1993-5,5/1/1993,general_merchandise
17821,1993-5,5/1/1993,food_drink_service
38892,1993-6,6/1/1993,car_dealers
4609,1993-6,6/1/1993,furniture
4567,1993-6,6/1/1993,electronics_appliances
11669,1993-6,6/1/1993,building_garden_supplies
31168,1993-6,6/1/1993,food_bev_stores
28377,1993-6,6/1/1993,grocery_stores
7680,1993-6,6/1/1993,health_personalcare_stores
13461,1993-6,6/1/1993,gas_stations
10411,1993-6,6/1/1993,clothing_stores
3702,1993-6,6/1/1993,sporting_hobby_book_stores
21957,1993-6,6/1/1993,general_merchandise
18030,1993-6,6/1/1993,food_drink_service
40290,1993-7,7/1/1993,car_dealers
4640,1993-7,7/1/1993,furniture
4642,1993-7,7/1/1993,electronics_appliances
11781,1993-7,7/1/1993,building_garden_supplies
31349,1993-7,7/1/1993,food_bev_stores
28554,1993-7,7/1/1993,grocery_stores
7756,1993-7,7/1/1993,health_personalcare_stores
13502,1993-7,7/1/1993,gas_stations
10593,1993-7,7/1/1993,clothing_stores
3810,1993-7,7/1/1993,sporting_hobby_book_stores
22343,1993-7,7/1/1993,general_merchandise
17927,1993-7,7/1/1993,food_drink_service
40504,1993-8,8/1/1993,car_dealers
4645,1993-8,8/1/1993,furniture
4667,1993-8,8/1/1993,electronics_appliances
11875,1993-8,8/1/1993,building_garden_supplies
31126,1993-8,8/1/1993,food_bev_stores
28357,1993-8,8/1/1993,grocery_stores
7678,1993-8,8/1/1993,health_personalcare_stores
13372,1993-8,8/1/1993,gas_stations
10406,1993-8,8/1/1993,clothing_stores
3804,1993-8,8/1/1993,sporting_hobby_book_stores
22315,1993-8,8/1/1993,general_merchandise
18201,1993-8,8/1/1993,food_drink_service
40203,1993-9,9/1/1993,car_dealers
4640,1993-9,9/1/1993,furniture
4729,1993-9,9/1/1993,electronics_appliances
11786,1993-9,9/1/1993,building_garden_supplies
31201,1993-9,9/1/1993,food_bev_stores
28478,1993-9,9/1/1993,grocery_stores
7772,1993-9,9/1/1993,health_personalcare_stores
13416,1993-9,9/1/1993,gas_stations
10549,1993-9,9/1/1993,clothing_stores
3825,1993-9,9/1/1993,sporting_hobby_book_stores
22429,1993-9,9/1/1993,general_merchandise
18515,1993-9,9/1/1993,food_drink_service
40857,1993-10,10/1/1993,car_dealers
4663,1993-10,10/1/1993,furniture
4710,1993-10,10/1/1993,electronics_appliances
11908,1993-10,10/1/1993,building_garden_supplies
31346,1993-10,10/1/1993,food_bev_stores
28618,1993-10,10/1/1993,grocery_stores
7758,1993-10,10/1/1993,health_personalcare_stores
13755,1993-10,10/1/1993,gas_stations
10449,1993-10,10/1/1993,clothing_stores
3817,1993-10,10/1/1993,sporting_hobby_book_stores
22647,1993-10,10/1/1993,general_merchandise
18199,1993-10,10/1/1993,food_drink_service
42077,1993-11,11/1/1993,car_dealers
4693,1993-11,11/1/1993,furniture
4741,1993-11,11/1/1993,electronics_appliances
12297,1993-11,11/1/1993,building_garden_supplies
31363,1993-11,11/1/1993,food_bev_stores
28625,1993-11,11/1/1993,grocery_stores
7784,1993-11,11/1/1993,health_personalcare_stores
13754,1993-11,11/1/1993,gas_stations
10475,1993-11,11/1/1993,clothing_stores
3930,1993-11,11/1/1993,sporting_hobby_book_stores
22760,1993-11,11/1/1993,general_merchandise
18153,1993-11,11/1/1993,food_drink_service
42796,1993-12,12/1/1993,car_dealers
4693,1993-12,12/1/1993,furniture
4794,1993-12,12/1/1993,electronics_appliances
12583,1993-12,12/1/1993,building_garden_supplies
31499,1993-12,12/1/1993,food_bev_stores
28773,1993-12,12/1/1993,grocery_stores
7989,1993-12,12/1/1993,health_personalcare_stores
13627,1993-12,12/1/1993,gas_stations
10442,1993-12,12/1/1993,clothing_stores
4018,1993-12,12/1/1993,sporting_hobby_book_stores
22905,1993-12,12/1/1993,general_merchandise
18238,1993-12,12/1/1993,food_drink_service
42660,1994-1,1/1/1994,car_dealers
4571,1994-1,1/1/1994,furniture
4837,1994-1,1/1/1994,electronics_appliances
12316,1994-1,1/1/1994,building_garden_supplies
31468,1994-1,1/1/1994,food_bev_stores
28722,1994-1,1/1/1994,grocery_stores
7865,1994-1,1/1/1994,health_personalcare_stores
13656,1994-1,1/1/1994,gas_stations
10450,1994-1,1/1/1994,clothing_stores
3981,1994-1,1/1/1994,sporting_hobby_book_stores
22706,1994-1,1/1/1994,general_merchandise
17624,1994-1,1/1/1994,food_drink_service
43685,1994-2,2/1/1994,car_dealers
4775,1994-2,2/1/1994,furniture
4949,1994-2,2/1/1994,electronics_appliances
12233,1994-2,2/1/1994,building_garden_supplies
31688,1994-2,2/1/1994,food_bev_stores
28923,1994-2,2/1/1994,grocery_stores
7729,1994-2,2/1/1994,health_personalcare_stores
13875,1994-2,2/1/1994,gas_stations
10587,1994-2,2/1/1994,clothing_stores
4095,1994-2,2/1/1994,sporting_hobby_book_stores
23070,1994-2,2/1/1994,general_merchandise
18425,1994-2,2/1/1994,food_drink_service
44475,1994-3,3/1/1994,car_dealers
4910,1994-3,3/1/1994,furniture
5052,1994-3,3/1/1994,electronics_appliances
12767,1994-3,3/1/1994,building_garden_supplies
31700,1994-3,3/1/1994,food_bev_stores
28914,1994-3,3/1/1994,grocery_stores
7911,1994-3,3/1/1994,health_personalcare_stores
13911,1994-3,3/1/1994,gas_stations
10806,1994-3,3/1/1994,clothing_stores
4131,1994-3,3/1/1994,sporting_hobby_book_stores
23657,1994-3,3/1/1994,general_merchandise
18813,1994-3,3/1/1994,food_drink_service
45072,1994-4,4/1/1994,car_dealers
4916,1994-4,4/1/1994,furniture
5090,1994-4,4/1/1994,electronics_appliances
13076,1994-4,4/1/1994,building_garden_supplies
31899,1994-4,4/1/1994,food_bev_stores
29111,1994-4,4/1/1994,grocery_stores
7838,1994-4,4/1/1994,health_personalcare_stores
13867,1994-4,4/1/1994,gas_stations
10554,1994-4,4/1/1994,clothing_stores
4035,1994-4,4/1/1994,sporting_hobby_book_stores
23354,1994-4,4/1/1994,general_merchandise
18533,1994-4,4/1/1994,food_drink_service
44098,1994-5,5/1/1994,car_dealers
4971,1994-5,5/1/1994,furniture
5185,1994-5,5/1/1994,electronics_appliances
13033,1994-5,5/1/1994,building_garden_supplies
31858,1994-5,5/1/1994,food_bev_stores
29025,1994-5,5/1/1994,grocery_stores
7955,1994-5,5/1/1994,health_personalcare_stores
13773,1994-5,5/1/1994,gas_stations
10451,1994-5,5/1/1994,clothing_stores
4119,1994-5,5/1/1994,sporting_hobby_book_stores
23271,1994-5,5/1/1994,general_merchandise
18600,1994-5,5/1/1994,food_drink_service
44541,1994-6,6/1/1994,car_dealers
5018,1994-6,6/1/1994,furniture
5313,1994-6,6/1/1994,electronics_appliances
12987,1994-6,6/1/1994,building_garden_supplies
32123,1994-6,6/1/1994,food_bev_stores
29311,1994-6,6/1/1994,grocery_stores
8014,1994-6,6/1/1994,health_personalcare_stores
14059,1994-6,6/1/1994,gas_stations
10612,1994-6,6/1/1994,clothing_stores
4135,1994-6,6/1/1994,sporting_hobby_book_stores
23626,1994-6,6/1/1994,general_merchandise
18889,1994-6,6/1/1994,food_drink_service
44477,1994-7,7/1/1994,car_dealers
5046,1994-7,7/1/1994,furniture
5330,1994-7,7/1/1994,electronics_appliances
13130,1994-7,7/1/1994,building_garden_supplies
31964,1994-7,7/1/1994,food_bev_stores
29149,1994-7,7/1/1994,grocery_stores
8084,1994-7,7/1/1994,health_personalcare_stores
14322,1994-7,7/1/1994,gas_stations
10672,1994-7,7/1/1994,clothing_stores
4111,1994-7,7/1/1994,sporting_hobby_book_stores
23635,1994-7,7/1/1994,general_merchandise
18962,1994-7,7/1/1994,food_drink_service
45232,1994-8,8/1/1994,car_dealers
5165,1994-8,8/1/1994,furniture
5411,1994-8,8/1/1994,electronics_appliances
13224,1994-8,8/1/1994,building_garden_supplies
32222,1994-8,8/1/1994,food_bev_stores
29410,1994-8,8/1/1994,grocery_stores
8126,1994-8,8/1/1994,health_personalcare_stores
14685,1994-8,8/1/1994,gas_stations
10839,1994-8,8/1/1994,clothing_stores
4249,1994-8,8/1/1994,sporting_hobby_book_stores
23889,1994-8,8/1/1994,general_merchandise
18868,1994-8,8/1/1994,food_drink_service
46314,1994-9,9/1/1994,car_dealers
5177,1994-9,9/1/1994,furniture
5508,1994-9,9/1/1994,electronics_appliances
13375,1994-9,9/1/1994,building_garden_supplies
32401,1994-9,9/1/1994,food_bev_stores
29545,1994-9,9/1/1994,grocery_stores
8190,1994-9,9/1/1994,health_personalcare_stores
14649,1994-9,9/1/1994,gas_stations
10674,1994-9,9/1/1994,clothing_stores
4306,1994-9,9/1/1994,sporting_hobby_book_stores
23995,1994-9,9/1/1994,general_merchandise
18978,1994-9,9/1/1994,food_drink_service
47041,1994-10,10/1/1994,car_dealers
5260,1994-10,10/1/1994,furniture
5635,1994-10,10/1/1994,electronics_appliances
13550,1994-10,10/1/1994,building_garden_supplies
32196,1994-10,10/1/1994,food_bev_stores
29343,1994-10,10/1/1994,grocery_stores
8214,1994-10,10/1/1994,health_personalcare_stores
14709,1994-10,10/1/1994,gas_stations
11000,1994-10,10/1/1994,clothing_stores
4347,1994-10,10/1/1994,sporting_hobby_book_stores
24255,1994-10,10/1/1994,general_merchandise
19010,1994-10,10/1/1994,food_drink_service
47203,1994-11,11/1/1994,car_dealers
5199,1994-11,11/1/1994,furniture
5753,1994-11,11/1/1994,electronics_appliances
13384,1994-11,11/1/1994,building_garden_supplies
32370,1994-11,11/1/1994,food_bev_stores
29520,1994-11,11/1/1994,grocery_stores
8190,1994-11,11/1/1994,health_personalcare_stores
14878,1994-11,11/1/1994,gas_stations
10983,1994-11,11/1/1994,clothing_stores
4221,1994-11,11/1/1994,sporting_hobby_book_stores
24356,1994-11,11/1/1994,general_merchandise
19028,1994-11,11/1/1994,food_drink_service
46941,1994-12,12/1/1994,car_dealers
5254,1994-12,12/1/1994,furniture
5834,1994-12,12/1/1994,electronics_appliances
13981,1994-12,12/1/1994,building_garden_supplies
32294,1994-12,12/1/1994,food_bev_stores
29443,1994-12,12/1/1994,grocery_stores
8287,1994-12,12/1/1994,health_personalcare_stores
14885,1994-12,12/1/1994,gas_stations
10952,1994-12,12/1/1994,clothing_stores
4255,1994-12,12/1/1994,sporting_hobby_book_stores
24583,1994-12,12/1/1994,general_merchandise
19178,1994-12,12/1/1994,food_drink_service
47224,1995-1,1/1/1995,car_dealers
5265,1995-1,1/1/1995,furniture
5892,1995-1,1/1/1995,electronics_appliances
13738,1995-1,1/1/1995,building_garden_supplies
32625,1995-1,1/1/1995,food_bev_stores
29791,1995-1,1/1/1995,grocery_stores
8306,1995-1,1/1/1995,health_personalcare_stores
14915,1995-1,1/1/1995,gas_stations
10939,1995-1,1/1/1995,clothing_stores
4436,1995-1,1/1/1995,sporting_hobby_book_stores
24936,1995-1,1/1/1995,general_merchandise
19160,1995-1,1/1/1995,food_drink_service
45902,1995-2,2/1/1995,car_dealers
5081,1995-2,2/1/1995,furniture
5827,1995-2,2/1/1995,electronics_appliances
13613,1995-2,2/1/1995,building_garden_supplies
32399,1995-2,2/1/1995,food_bev_stores
29604,1995-2,2/1/1995,grocery_stores
8304,1995-2,2/1/1995,health_personalcare_stores
14963,1995-2,2/1/1995,gas_stations
10582,1995-2,2/1/1995,clothing_stores
4298,1995-2,2/1/1995,sporting_hobby_book_stores
24115,1995-2,2/1/1995,general_merchandise
18911,1995-2,2/1/1995,food_drink_service
46681,1995-3,3/1/1995,car_dealers
5130,1995-3,3/1/1995,furniture
5849,1995-3,3/1/1995,electronics_appliances
13587,1995-3,3/1/1995,building_garden_supplies
32415,1995-3,3/1/1995,food_bev_stores
29619,1995-3,3/1/1995,grocery_stores
8304,1995-3,3/1/1995,health_personalcare_stores
14921,1995-3,3/1/1995,gas_stations
10850,1995-3,3/1/1995,clothing_stores
4347,1995-3,3/1/1995,sporting_hobby_book_stores
24579,1995-3,3/1/1995,general_merchandise
19234,1995-3,3/1/1995,food_drink_service
47056,1995-4,4/1/1995,car_dealers
5181,1995-4,4/1/1995,furniture
5733,1995-4,4/1/1995,electronics_appliances
13415,1995-4,4/1/1995,building_garden_supplies
32312,1995-4,4/1/1995,food_bev_stores
29499,1995-4,4/1/1995,grocery_stores
8450,1995-4,4/1/1995,health_personalcare_stores
15021,1995-4,4/1/1995,gas_stations
10796,1995-4,4/1/1995,clothing_stores
4345,1995-4,4/1/1995,sporting_hobby_book_stores
24747,1995-4,4/1/1995,general_merchandise
19346,1995-4,4/1/1995,food_drink_service
47718,1995-5,5/1/1995,car_dealers
5216,1995-5,5/1/1995,furniture
5956,1995-5,5/1/1995,electronics_appliances
13370,1995-5,5/1/1995,building_garden_supplies
32540,1995-5,5/1/1995,food_bev_stores
29763,1995-5,5/1/1995,grocery_stores
8424,1995-5,5/1/1995,health_personalcare_stores
15215,1995-5,5/1/1995,gas_stations
10976,1995-5,5/1/1995,clothing_stores
4380,1995-5,5/1/1995,sporting_hobby_book_stores
24851,1995-5,5/1/1995,general_merchandise
19450,1995-5,5/1/1995,food_drink_service
49652,1995-6,6/1/1995,car_dealers
5217,1995-6,6/1/1995,furniture
6000,1995-6,6/1/1995,electronics_appliances
13548,1995-6,6/1/1995,building_garden_supplies
