per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
5,6,2,0,1,0,1
5,8,2,0,1,0,3.2
5,9,2,0,1,0,1.2
5,10,2,0,1,0,6
5,11,2,0,1,0,4.8
5,12,2,0,1,0,4.7
5,13,2,0,1,0,-0.6
5,14,2,0,1,0,8.1
5,15,2,0,1,0,1.7
5,16,2,0,1,0,0.8
5,17,2,0,1,0,6.2
5,21,2,0,1,0,7
6,6,1,0,1,0,38389
6,6,1,0,1,1,34781
6,8,1,0,1,0,4357
6,8,1,0,1,1,4401
6,9,1,0,1,0,3788
6,9,1,0,1,1,3992
6,10,1,0,1,0,12219
6,10,1,0,1,1,10790
6,11,1,0,1,0,30769
6,11,1,0,1,1,30761
6,12,1,0,1,0,28039
6,12,1,0,1,1,28011
6,13,1,0,1,0,7387
6,13,1,0,1,1,7417
6,14,1,0,1,0,13427
6,14,1,0,1,1,12886
6,15,1,0,1,0,9182
6,15,1,0,1,1,9915
6,16,1,0,1,0,3240
6,16,1,0,1,1,3549
6,17,1,0,1,0,18812
6,17,1,0,1,1,20298
6,21,1,0,1,0,16814
6,21,1,0,1,1,16277
6,6,2,0,1,1,1.2
6,8,2,0,1,1,1.6
6,9,2,0,1,1,0.3
6,10,2,0,1,1,0.1
6,11,2,0,1,1,0.1
6,12,2,0,1,1,0.1
6,13,2,0,1,1,-0.5
6,14,2,0,1,1,0.1
6,15,2,0,1,1,1.6
6,16,2,0,1,1,1.1
6,17,2,0,1,1,-0.2
6,21,2,0,1,1,-2
6,6,2,0,1,0,5.3
6,8,2,0,1,0,1.9
6,9,2,0,1,0,6.1
6,10,2,0,1,0,-0.9
6,11,2,0,1,0,-2.9
6,12,2,0,1,0,-2.9
6,13,2,0,1,0,-1.3
6,14,2,0,1,0,-0.2
6,15,2,0,1,0,-3.9
6,16,2,0,1,0,2
6,17,2,0,1,0,-6.1
6,21,2,0,1,0,-4.7
7,6,1,0,1,0,37814
7,6,1,0,1,1,35199
7,8,1,0,1,0,4407
7,8,1,0,1,1,4368
7,9,1,0,1,0,3930
7,9,1,0,1,1,4081
7,10,1,0,1,0,11658
7,10,1,0,1,1,10785
7,11,1,0,1,0,32402
7,11,1,0,1,1,30963
7,12,1,0,1,0,29479
7,12,1,0,1,1,28183
7,13,1,0,1,0,7277
7,13,1,0,1,1,7292
7,14,1,0,1,0,13874
7,14,1,0,1,1,12966
7,15,1,0,1,0,9103
7,15,1,0,1,1,9957
7,16,1,0,1,0,3224
7,16,1,0,1,1,3586
7,17,1,0,1,0,18575
7,17,1,0,1,1,20205
7,21,1,0,1,0,17304
7,21,1,0,1,1,16496
7,6,2,0,1,1,1.2
7,8,2,0,1,1,-0.7
7,9,2,0,1,1,2.2
7,10,2,0,1,1,0
7,11,2,0,1,1,0.7
7,12,2,0,1,1,0.6
7,13,2,0,1,1,-1.7
7,14,2,0,1,1,0.6
7,15,2,0,1,1,0.4
7,16,2,0,1,1,1
7,17,2,0,1,1,-0.5
7,21,2,0,1,1,1.3
7,6,2,0,1,0,-1.5
7,8,2,0,1,0,1.1
